Model,Label,RMSE,MAE,$R^2$,Pearson $r$
Ours,CogCrystalComp_Unadj,11.3946 \pm 0.0000,9.2489 \pm 0.0000,-0.0191 \pm 0.0000,0.0381 \pm 0.0000
Ours,CogEarlyComp_Unadj,9.9375 \pm 0.0000,8.1916 \pm 0.0000,-0.0343 \pm 0.0000,0.0667 \pm 0.0000
Ours,CogFluidComp_Unadj,11.1600 \pm 0.0000,8.8828 \pm 0.0000,0.0070 \pm 0.0000,0.2672 \pm 0.0000
Ours,CogTotalComp_Unadj,14.0572 \pm 0.0000,11.4248 \pm 0.0000,-0.0066 \pm 0.0000,0.1356 \pm 0.0000
w/o GRL,CogCrystalComp_Unadj,8.7228 \pm 0.0000,6.7945 \pm 0.0000,-0.0215 \pm 0.0000,-0.0149 \pm 0.0000
w/o GRL,CogEarlyComp_Unadj,11.6512 \pm 0.0000,9.9578 \pm 0.0000,-0.0150 \pm 0.0000,0.0935 \pm 0.0000
w/o GRL,CogFluidComp_Unadj,11.4855 \pm 0.0000,9.2370 \pm 0.0000,-0.0518 \pm 0.0000,0.0409 \pm 0.0000
w/o GRL,CogTotalComp_Unadj,14.6881 \pm 0.0000,11.9095 \pm 0.0000,-0.1128 \pm 0.0000,-0.0978 \pm 0.0000
w/o PR,CogCrystalComp_Unadj,8.9950 \pm 0.0000,7.0700 \pm 0.0000,-0.0178 \pm 0.0000,0.1785 \pm 0.0000
w/o PR,CogEarlyComp_Unadj,10.5432 \pm 0.0000,8.5940 \pm 0.0000,-0.0003 \pm 0.0000,-0.0737 \pm 0.0000
w/o PR,CogFluidComp_Unadj,11.4551 \pm 0.0000,9.2325 \pm 0.0000,-0.0462 \pm 0.0000,0.1819 \pm 0.0000
w/o PR,CogTotalComp_Unadj,13.5679 \pm 0.0000,11.3437 \pm 0.0000,-0.0066 \pm 0.0000,0.0083 \pm 0.0000
w/o EL,CogCrystalComp_Unadj,10.2916 \pm 0.0000,8.0416 \pm 0.0000,-0.0019 \pm 0.0000,-0.0919 \pm 0.0000
w/o EL,CogEarlyComp_Unadj,9.4114 \pm 0.0000,7.8019 \pm 0.0000,0.0002 \pm 0.0000,0.1569 \pm 0.0000
w/o EL,CogFluidComp_Unadj,11.4741 \pm 0.0000,9.2513 \pm 0.0000,-0.0497 \pm 0.0000,0.1375 \pm 0.0000
w/o EL,CogTotalComp_Unadj,13.8320 \pm 0.0000,11.1703 \pm 0.0000,-0.0027 \pm 0.0000,0.0598 \pm 0.0000
